objID,RA,DEC,PGC,HUBBLE,TYPE
1237645941286371349,37.638042,-1.108472,PGC  9549,.S..2*/,1.8
1237645941288665369,42.969583,-1.172222,PGC 10854,.SBT9*.,9.0
1237645941289058364,43.7632917,-1.1894167,PGC 11000,.S..5..,5.0
1237645941289975876,45.954625,-1.1037222,PGC 11537,.LA.+*.,-0.5
1237645941290893443,47.999421,-1.161669,PGC 11919,.S..4*/,4.0
1237645941291810901,50.160625,-1.0350556,PGC 12524,.S?....,-99.0
1237645941291876369,50.178917,-1.108583,PGC 12531,.SA.5P*,4.5
1237645941291876420,50.188875,-1.0539722,PGC 12538,.L?....,-99.0
1237645941291876474,50.18917,-1.04944,PGC 12539,.S?....,-99.0
1237645941292007517,50.5036667,-1.05425,PGC 12620,.S..6*.,6.0
1237645941297119461,62.2565,-1.159611,PGC 14559,.SBS4*.,4.3
1237645941822980266,37.078667,-0.608204,PGC  9406,.IXS9*.,10.0
1237645941823832203,39.05825,-0.69775,PGC  9880,.S..6*.,6.0
1237645941825208379,42.2116667,-0.7673889,PGC 10647,RSBR2*.,2.3
1237645941825536040,42.8963333,-0.7337778,PGC 10843,.S..1*.,1.0
1237645941826584681,45.2635833,-0.7433056,PGC 11397,.S..8*.,8.0
1237645941827174532,46.7184167,-0.7944722,PGC 11670,RSBR0..,0.0
1237645941833138204,60.260458,-0.717694,PGC 14288,.SBT8?.,8.3
1237645941835235420,65.073667,-0.692722,PGC 14907,.LXR+?.,-1.0
1237645941835628614,65.995167,-0.826917,PGC 15027,.S..3..,3.0
1237645941835694144,66.105583,-0.746222,PGC 15042,.L..+P?,-1.3
1237645941835694271,66.1609167,-0.7598361,PGC 15051,CI..9??,10.0
1237645942359589061,36.5279583,-0.3319167,PGC  9256,.SBT4*.,4.0
1237645942359785504,36.8872083,-0.2445278,PGC  9352,.LX.-..,-2.5
1237645942361882628,41.641333,-0.247083,PGC 10507,.SBT4..,4.0
1237645942361948269,41.8659583,-0.2851111,PGC 10559,.SXS2..,2.0
1237645942362079265,42.1612083,-0.2715,PGC 10634,PSBT0..,0.3
1237645942362996910,44.2989583,-0.2230556,PGC 11154,.SX.8*.,8.0
1237645942363062298,44.3494583,-0.3093889,PGC 11170,.L..-*.,-3.0
1237645942364635189,47.947792,-0.402972,PGC 11912,.SBR3*.,3.3
1237645942364700749,48.1905,-0.333083,PGC 11966,.SB.0*.,0.0
1237645942364831795,48.438375,-0.2414444,PGC 12017,RSBR1P?,1.0
1237645942365618296,50.245417,-0.367611,PGC 12560,.SAS5*.,5.3
1237645942366208034,51.560417,-0.203014,PGC 12835,,-99.0
1237645942899146766,42.570242,0.091994,PGC 10761,.SBR3..,3.0
1237645942900260944,45.167525,0.020461,PGC 11375,.S..8*/,8.0
1237645942902685788,50.6967917,0.1493611,PGC 12655,.SX.6..,6.0
1237645942902882532,51.0941667,0.1135278,PGC 12733,.S..8*.,8.0
1237645943433527526,36.9643333,0.5015278,PGC  9376,.S..4*/,4.3
1237645943434051694,38.1637083,0.6173333,PGC  9680,.S?....,-99.0
1237645943435034691,40.438458,0.443167,PGC 10208,.SB.3*/,3.0
1237645943439229008,49.9293333,0.5654722,PGC 12418,.S?....,-99.0
1237645943439229028,49.9459167,0.5845833,PGC 12425,.S?....,-99.0
1237645943441850639,55.968625,0.6143611,PGC 13702,.S..6*.,6.0
1237645943445324072,63.865333,0.488194,PGC 14751,.S..6*.,6.0
1237645943970660392,37.57175,0.936531,PGC  9530,.IBS9*.,10.0
1237645943970857092,37.99825,0.9100278,PGC  9643,.SXS5..,5.0
1237645943971053785,38.4845833,0.9236944,PGC  9765,.SBS6*.,6.0
1237645943972692015,42.2162917,0.9895278,PGC 10651,.SA.1..,1.0
1237645943973543992,44.113,0.8757222,PGC 11112,.SX.4..,4.0
1237646010010697791,2.956292,-1.087361,PGC   825,.S..8*.,8.0
1237646010012467303,6.9572083,-1.1999722,PGC  1713,.SXS7*.,6.5
1237646010012663936,7.3870417,-1.09575,PGC  1805,.SXS3..,3.0
1237646010013057104,8.3420417,-1.1213611,PGC  2016,.SBT8..,8.0
1237646010015416477,13.7873333,-1.0464722,PGC  3266,.L?....,-99.0
1237646010015547560,14.0444583,-1.1169167,PGC  3340,,-99.0
1237646010018824209,21.5104583,-1.2256111,PGC  5326,.E+..*.,-3.7
1237646010019020808,21.8996,-1.105121,PGC  5436,.S..0..,0.0
1237646010019020830,21.9292083,-1.1395833,PGC  5449,.E...*.,-5.0
1237646010019217447,22.4332917,-1.2414167,PGC  5574,.L.....,-2.0
1237646010019676232,23.5332083,-1.03225,PGC  5838,.S..2*/,1.7
1237646010019676240,23.393892,-1.090636,PGC  5803,.S..8*.,8.0
1237646010019676303,23.51025,-1.07575,PGC  5830,.SB.2P/,2.0
1237646010021773404,28.2704167,-1.0752778,PGC  6986,.S..2..,2.0
1237646010022821896,30.572083,-1.127917,PGC  7748,.E.....,-5.0
1237646010025574409,36.906083,-1.156278,PGC  9359,.LBT+..,-1.0
1237646010025640000,37.116042,-1.151528,PGC  9414,.SXT5..,5.0
1237646010025902096,37.638042,-1.108472,PGC  9549,.S..2*/,1.8
1237646010028196118,42.969583,-1.172222,PGC 10854,.SBT9*.,9.0
1237646010028589094,43.7632917,-1.1894167,PGC 11000,.S..5..,5.0
1237646010029506614,45.954625,-1.1037222,PGC 11537,.LA.+*.,-0.5
1237646010030424165,47.999421,-1.161669,PGC 11919,.S..4*/,4.0
1237646010031341619,50.160625,-1.0350556,PGC 12524,.S?....,-99.0
1237646010031407159,50.178917,-1.108583,PGC 12531,.SA.5P*,4.5
1237646010031407203,50.188875,-1.0539722,PGC 12538,.L?....,-99.0
1237646010031407207,50.18917,-1.04944,PGC 12539,.S?....,-99.0
1237646010031538248,50.5036667,-1.05425,PGC 12620,.S..6*.,6.0
1237646010036650171,62.2565,-1.159611,PGC 14559,.SBS4*.,4.3
1237646010040909895,71.900958,-1.161861,PGC 16017,.S..1..,1.0
1237646010041696363,73.797659,-1.18931,PGC 16333,.SB.2..,2.0
1237646010042155239,74.847625,-1.15925,PGC 16490,.SBS4?/,4.0
1237646010042679837,76.04875,-1.155917,PGC 16662,.SB?...,-99.0
1237646010547240995,2.159208,-0.735194,PGC   639,.S..1..,1.0
1237646010553335827,16.0707083,-0.7649444,PGC  3817,.L..-*.,-3.0
1237646010553335986,16.170125,-0.8027778,PGC  3833,RLBS0*.,-2.0
1237646010554122262,17.943875,-0.66433,PGC  4292,.P...?.,99.0
1237646010555367489,20.8015417,-0.6411667,PGC  5055,.L.....,-2.0
1237646010555367579,20.8105833,-0.7013056,PGC  5067,.S?....,-99.0
1237646010556481551,23.25825,-0.6898333,PGC  5771,.SXS5..,5.0
1237646010558316636,27.5294,-0.740092,PGC  6741,.S?....,-99.0
1237646010558775300,28.496667,-0.750361,PGC  7039,.S?....,-99.0
1237646010558775357,28.593292,-0.628361,PGC  7071,,-99.0
1237646010558775671,28.5334583,-0.7425,PGC  7046,.I..9*.,10.0
